study_accession,catalog_status,reason_code,n_authors,first_author,last_author,n_papers,n_linked_papers,n_bioproject_pubs,organisations,has_any_author,has_any_organisation,in_ncbi_bioproject
PRJNA695070,included,,9,Xiao L,Zhao F,2,2,0,Beijing Institutes of Life Science,True,True,True
PRJEB9584,excluded,age_adult_only,5,Schroer HW,Bosch DE,1,1,0,Beijing Genome Institute,True,True,True
PRJNA387903,included,,14,Zeng S,Wang S,2,2,0,Washington University,True,True,True
PRJNA845806,included,,18,Sugino KY,Friedman JE,2,2,0,"University of Oklahoma, Health Science Center",True,True,True
PRJNA418044,excluded,assay_other_nonshotgun,0,,,0,0,0,Blood Systems Research Institute,False,True,True
PRJNA289586,excluded,age_unknown_no_evidence,48,Ormaasen I,Snipen L,5,2,3,Luxembourg Centre for Systems Biomedicine,True,True,True
PRJNA1249606,excluded,age_unknown_no_evidence,0,,,0,0,0,Cincinnati Childrens Hospital,False,True,True
PRJEB52640,excluded,site_excluded,9,Rosenboom I,Tümmler B,1,1,0,Hannover Medical School,True,True,True
PRJNA1122359,excluded,site_excluded,0,,,0,0,0,fuzhou university,False,True,True
PRJNA665061,excluded,age_adult_only,17,Argentini C,Ventura M,2,2,0,University of California San Francisco,True,True,True
PRJNA679346,excluded,age_adult_only,24,Argentini C,Ventura M,3,3,0,Tokyo Institute of Technology,True,True,True
PRJNA1005702,excluded,age_unknown_no_evidence,0,,,0,0,0,"University of Maryland, Baltimore",False,True,True
PRJEB49168,excluded,age_adult_only,0,,,0,0,0,GENOME INSTITUTE OF SINGAPORE,False,True,True
PRJNA1231000,excluded,age_unknown_no_evidence,0,,,0,0,0,Quadram Institute Bioscience,False,True,True
PRJNA1464060,excluded,assay_amplicon_misfiled,8,Chen K,Liong MT,1,1,0,"DiPROBIO (Shanghai) Co., Ltd., Shanghai, Chi",True,True,True
PRJNA678454,excluded,age_unknown_no_evidence,17,Argentini C,Ventura M,1,1,0,Stanford University School of Medicine,True,True,True
PRJEB11554,human_review,,0,,,0,0,0,IMPERIAL COLLEGE LONDON,False,True,True
PRJNA689363,excluded,age_unknown_no_evidence,0,,,0,0,0,Institute Of Microbiology Chinese Academy of Sciences,False,True,True
PRJNA454892,excluded,age_unknown_no_evidence,0,,,0,0,0,University of alberta,False,True,True
PRJNA1457641,excluded,age_unknown_no_evidence,0,,,0,0,0,"College of Veterinary Medicine, Henan Agricultural University",False,True,True
PRJNA772518,excluded,age_adult_only,24,Argentini C,Ventura M,3,3,0,QuantiHealth,True,True,True
PRJNA763908,included,,0,,,0,0,0,"Children's Hospital, Zhejiang University School of Medicine",False,True,True
PRJEB14969,included,,4,Smith-Brown P,Davies PS,1,1,0,University of California San Diego Microbiome Initiative,True,True,True
PRJNA1198101,included,,12,Ferretti P,Blekhman R,1,1,0,University of Minnesota,True,True,True
PRJNA217052,human_review,,10,Orihara K,Matsuki T,1,1,0,Broad Institute,True,True,True
PRJNA592261,included,,12,Aguado-García Y,Arias CF,3,3,3,Instituto de Biotecnologia,True,True,True
PRJNA684904,human_review,,6,Kavanova K,Crhanova M,1,1,0,North-west University,True,True,True
PRJEB29078,excluded,assay_amplicon,43,Stanislawski MA,Eggesbø M,4,4,0,University of California San Diego Microbiome Initiative,True,True,True
PRJEB39223,excluded,age_adult_only,22,He W,Sørensen SJ,2,2,0,University of Trento,True,True,True
PRJEB5224,excluded,age_unknown_no_evidence,52,Nayfach S,Pollard KS,4,3,1,Beijing Genome Institute,True,True,True
PRJEB86954,included,,13,Ngwese MM,Ley RE,1,1,0,max-planck institute for biology; Max-Planck Institute for Biology,True,True,True
PRJEB9150,included,,9,Tarracchini C,Milani C,2,2,0,DUKE UNIVERSITY MEDICAL CENTER,True,True,True
PRJEB9576,excluded,age_adult_only,37,Ormaasen I,Snipen L,3,3,0,Beijing Genome Institute,True,True,True
PRJEB97980,excluded,age_adult_only,15,So Y,Abou Hachem M,1,1,0,University Hospital Basel,True,True,True
PRJEB98012,excluded,age_unknown_no_evidence,15,So Y,Abou Hachem M,1,1,0,University of California San Diego Microbiome Initiative,True,True,True
PRJEB98069,excluded,age_unknown_no_evidence,15,So Y,Abou Hachem M,1,1,0,AALBORG UNIVERSITY,True,True,True
PRJNA1159139,excluded,host_synthetic,7,Colberg O,Wellejus A,1,1,0,Novonesis,True,True,True
PRJNA1338803,excluded,host_synthetic,9,Wang J,Tian P,1,1,0,Jiangnan university,True,True,True
PRJNA275349,excluded,age_adult_only,29,Piscotta FJ,Brady SF,3,2,1,JCVI,True,True,True
PRJNA385126,included,,23,McCann A,Hill C,3,3,0,APC Microbiome Institute,True,True,True
PRJNA386422,excluded,age_adult_only,18,Tarracchini C,Milani C,3,3,0,University of Parma,True,True,True
PRJNA394849,excluded,age_unknown_no_evidence,21,Ormaasen I,Snipen L,2,2,0,Sapienza Universita' di Roma,True,True,True
PRJNA397112,excluded,age_adult_only,37,Ormaasen I,Snipen L,3,3,0,"Indian Institute of Science Education and Research, Bhopal",True,True,True
PRJNA397219,excluded,age_adult_only,45,Ormaasen I,Snipen L,3,2,1,Mayo Clinic,True,True,True
PRJNA400072,excluded,age_adult_only,28,Tarracchini C,Milani C,4,4,0,Harvard T.H. Chan School of Public Health,True,True,True
PRJNA401385,excluded,age_adult_only,22,Tarracchini C,Milani C,4,4,0,"Institute of Microbiology, Chinese Academy of Sciences",True,True,True
PRJNA407341,excluded,age_unknown_no_evidence,12,Zeng S,Wang S,1,1,0,APC Microbiome Institute,True,True,True
PRJNA422434,excluded,age_adult_only,109,Nayfach S,Pollard KS,12,10,2,BGI,True,True,True
PRJNA431482,excluded,age_adult_only,28,Ormaasen I,Snipen L,3,3,0,The First Affiliated Hospital of Chongqing Medical University,True,True,True
PRJNA48479,excluded,age_adult_only,110,Nayfach S,Pollard KS,13,11,2,NIH Human Microbiome Consortium,True,True,True
PRJNA492714,excluded,age_adult_only,4,Ormaasen I,Snipen L,1,1,0,DIPAS,True,True,True
PRJNA492716,excluded,age_unknown_no_evidence,25,Fontana F,Ventura M,2,1,1,The University of Queensland,True,True,True
PRJNA529400,included,,20,Manara S,Segata N,1,1,0,Polo Scientifico e Tecnologico Fabio Ferrari,True,True,True
PRJNA531203,excluded,age_unknown_no_evidence,18,Tarracchini C,Milani C,3,3,0,Institute of Microbial Technology,True,True,True
PRJNA531316,excluded,age_unknown_no_evidence,7,Tarracchini C,Milani C,1,1,0,MiHAR,True,True,True
PRJNA832909,excluded,age_adult_only,35,Tarracchini C,Milani C,2,1,1,Waseda University,True,True,True
PRJNA835720,included,,7,Li Y,Chen W-H,1,1,0,Huazhong University of Science & Technology,True,True,True
PRJNA916259,excluded,age_adult_only,21,Li X,Sørensen SJ,2,2,0,university of copenhagen,True,True,True
PRJNA961946,excluded,assay_amplicon_misfiled,13,Li Z,Zhao J,1,1,0,The Second Hospital of Hebei Medical University,True,True,True
PRJDB4176,excluded,age_adult_only,48,Orihara K,Matsuki T,4,4,0,Tokyo Institute of Technology; Japanese consortium for human microbiome; TITECH,True,True,True
PRJEB10878,excluded,age_adult_only,22,Mancabelli L,Ventura M,2,2,0,Beijing Genome Institute,True,True,True
PRJEB11532,excluded,age_adult_only,30,Tarracchini C,Milani C,2,1,1,WEIZMANN INSTITUE OF SCIENCE,True,True,True
PRJEB1220,excluded,age_adult_only,91,Tarracchini C,Milani C,6,5,1,BGI,True,True,True
PRJEB14383,excluded,site_excluded,6,Piscotta FJ,Brady SF,1,1,0,UCL,True,True,True
PRJEB15371,excluded,age_adult_only,26,Pasolli E,Segata N,2,2,0,Beijing Genome Institute,True,True,True
PRJEB1690,excluded,age_adult_only,24,Tarracchini C,Milani C,2,2,0,"Seoul National University, Korea; Seoul National University",True,True,True
PRJEB17632,excluded,age_unknown_no_evidence,10,Orihara K,Matsuki T,1,1,0,European Molecular Biology Laboratory,True,True,True
PRJEB1786,excluded,age_adult_only,21,Fontana F,Ventura M,2,1,1,Chalmers University of Technology,True,True,True
PRJEB19090,excluded,age_adult_only,22,Ormaasen I,Snipen L,3,2,1,PORTO CONTE RICERCHE SRL,True,True,True
PRJEB20800,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Beijing Genome Institute,True,True,True
PRJEB21528,excluded,age_adult_only,38,Ormaasen I,Snipen L,4,4,0,Beijing Genome Institute,True,True,True
PRJEB22893,excluded,age_adult_only,17,Nooij S,Ducarmon QR,1,1,0,MD ANDERSON CANCER CENTER,True,True,True
PRJEB23052,excluded,age_adult_only,18,Wang M,Zhou W,2,2,0,Shenzhen Following Precision Medical Research Institute,True,True,True
PRJEB23524,excluded,age_adult_only,8,Hu H,Dai L,1,1,0,MIT,True,True,True
PRJEB26795,excluded,age_child_over_36m,36,Zhong H,Kristiansen K,2,2,0,CNGB,True,True,True
PRJEB27005,excluded,age_adult_only,46,Tarracchini C,Milani C,6,5,1,ALFRED WEGENER INSTITUTE FOR POLAR AND MARINE RESE,True,True,True
PRJEB27928,excluded,age_adult_only,66,Zeng S,Wang S,5,4,1,European Molecular Biology Laboratory,True,True,True
PRJEB28687,excluded,age_adult_only,9,Tarracchini C,Milani C,2,2,0,UNIVERSITY OF MINNESOTA,True,True,True
PRJEB29127,excluded,age_adult_only,17,Tarracchini C,Milani C,2,2,0,CNGB,True,True,True
PRJEB30834,excluded,age_adult_only,18,Tarracchini C,Milani C,3,3,0,ALFRED WEGENER INSTITUTE FOR POLAR AND MARINE RESE,True,True,True
PRJEB32731,excluded,access_controlled,20,Zeng S,Wang S,3,3,0,KING'S COLLEGE LONDON,True,True,True
PRJEB32794,excluded,age_adult_only,9,Tarracchini C,Milani C,2,2,0,"Teagasc Food Research Centre, Ireland; Teagasc Food Research Centre",True,True,True
PRJEB33098,excluded,age_unknown_no_evidence,17,Tarracchini C,Milani C,2,2,0,IDIBELL,True,True,True
PRJEB36820,excluded,age_unknown_no_evidence,30,Zeng S,Wang S,3,3,0,"department of computational biology, indraprastha institute of information technology delhi; department of computational biology",True,True,True
PRJEB37731,excluded,age_adult_only,36,Tarracchini C,Milani C,7,2,5,Centre for Translational Microbiome Research (CTMR),True,True,True
PRJEB42013,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,European Molecular Biology Laboratory,True,True,True
PRJEB4336,excluded,age_adult_only,49,Tarracchini C,Milani C,2,1,1,Beijing Genome Institute,True,True,True
PRJEB44737,excluded,age_adult_only,39,Argentini C,Ventura M,4,3,1,Netherlands Donor Feces Bank,True,True,True
PRJEB47909,excluded,age_adult_only,11,Tonkin-Hill G,Corander J,1,1,0,University of Trento,True,True,True
PRJEB6070,excluded,age_adult_only,33,Tarracchini C,Milani C,5,5,0,EMBL - Germany,True,True,True
PRJEB62571,excluded,age_child_over_36m,11,Ruiz-Ruiz S,Moya A,1,1,0,FISABIO - Public Health,True,True,True
PRJEB7774,excluded,age_adult_only,37,Tarracchini C,Milani C,6,6,0,Beijing Genome Institute,True,True,True
PRJEB8094,excluded,age_adult_only,55,Orihara K,Matsuki T,5,4,1,"Universite Laval, Canada; Universite Laval",True,True,True
PRJEB9524,excluded,assay_other_nonshotgun,12,Zeng S,Wang S,1,1,0,WASHINGTON UNIVERSITY SCHOOL OF MEDICINE,True,True,True
PRJNA188481,excluded,age_unknown_no_evidence,26,Tarracchini C,Milani C,3,2,1,Broad Institute,True,True,True
PRJNA271618,excluded,host_nonhuman,4,Nayfach S,Pollard KS,1,1,0,Duke University,True,True,True
PRJNA278393,excluded,age_adult_only,60,Soverini M,Candela M,9,7,2,University of Bologna,True,True,True
PRJNA285502,excluded,age_adult_only,17,Hu H,Dai L,2,1,1,University of Washington,True,True,True
PRJNA299502,excluded,age_unknown_no_evidence,37,Ormaasen I,Snipen L,3,3,0,University of Oklahoma,True,True,True
PRJNA300541,included,,91,Pehrsson EC,Dantas G,11,10,2,Washington University in St. Louis,True,True,True
PRJNA305507,excluded,age_adult_only,25,Tarracchini C,Milani C,3,3,0,Jackson Laboratory,True,True,True
PRJNA307231,excluded,age_adult_only,27,Mancabelli L,Ventura M,2,2,0,IrsiCaixa Foundation,True,True,True
PRJNA319574,excluded,age_adult_only,33,Hall B,Jiang X,2,2,0,The Broad Institute,True,True,True
PRJNA321218,excluded,age_adult_only,33,Fontana F,Ventura M,4,2,2,,True,False,True
PRJNA324672,excluded,age_unknown_no_evidence,21,Ormaasen I,Snipen L,2,2,0,Vavilov Institute of General Genetics,True,True,True
PRJNA328899,excluded,site_unknown,52,Pasolli E,Segata N,4,3,1,Hainan university,True,True,True
PRJNA336518,excluded,host_environmental,27,Fontana F,Ventura M,5,1,4,USFDA,True,True,True
PRJNA356102,excluded,age_adult_only,35,Pasolli E,Segata N,2,2,0,Realbio,True,True,True
PRJNA360177,excluded,age_adult_only,24,Argentini C,Ventura M,2,2,0,"Chinese PLA General Hospital, Chinese PLA Postgraduate Medical School",True,True,True
PRJNA375935,excluded,age_adult_only,4,Ormaasen I,Snipen L,1,1,0,Realbio,True,True,True
PRJNA380118,excluded,age_child_over_36m,21,Ormaasen I,Snipen L,2,2,0,Vavilov Institute of General Genetics,True,True,True
PRJNA392180,excluded,age_adult_only,38,Auchtung TA,Petrosino JF,3,3,0,Stanford University,True,True,True
PRJNA438847,excluded,age_adult_only,22,Tarracchini C,Milani C,4,4,0,South Australian Health and Research Institute,True,True,True
PRJNA445968,excluded,age_adult_only,33,Mancabelli L,Ventura M,3,1,2,Memorial Sloan Kettering Cancer Center; Tri-I TBRU,True,True,True
PRJNA449784,excluded,age_adult_only,28,Ormaasen I,Snipen L,3,3,0,Promegene Translational Research Institute,True,True,True
PRJNA46333,excluded,site_excluded,54,Shen Z,Segre JA,9,1,8,NISC - NIH Intramural Sequencing Center,True,True,True
PRJNA472785,excluded,age_adult_only,12,Tarracchini C,Milani C,2,2,0,Harvard Medical School,True,True,True
PRJNA486795,excluded,age_adult_only,19,Fontana F,Ventura M,1,1,0,"School of Basic Medical Sciences, Peking University",True,True,True
PRJNA487636,excluded,age_adult_only,4,Ormaasen I,Snipen L,1,1,0,Mayo Clinic,True,True,True
PRJNA491626,excluded,age_unknown_no_evidence,14,Zeng S,Wang S,2,1,1,KULeuven-Viral Metagenomics lab,True,True,True
PRJNA504891,included,,225,Pasolli E,Segata N,21,20,2,University of Trento,True,True,True
PRJNA517801,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Kanazawa University,True,True,True
PRJNA518912,excluded,host_nonhuman,43,Fontana F,Ventura M,2,2,0,Icahn School of Medicine at Mount Sinai,True,True,True
PRJNA521587,excluded,age_adult_only,24,Argentini C,Ventura M,2,2,0,McGill University Health Centre,True,True,True
PRJNA527208,excluded,age_unknown_no_evidence,21,Tarracchini C,Milani C,6,3,3,FIOCRUZ,True,True,True
PRJNA529124,included,,146,Tett A,Segata N,8,8,0,Polo Scientifico e Tecnologico Fabio Ferrari,True,True,True
PRJNA544527,excluded,age_adult_only,58,Fontana F,Ventura M,3,2,1,Massachusetts Institute of Technology,True,True,True
PRJNA545408,excluded,age_adult_only,14,Zeng S,Wang S,2,1,1,University College Cork,True,True,True
PRJNA547717,excluded,site_excluded,19,Fontana F,Ventura M,1,1,0,Polo Scientifico e Tecnologico Fabio Ferrari,True,True,True
PRJNA553191,excluded,age_adult_only,18,Tarracchini C,Milani C,3,3,0,University of Bologna,True,True,True
PRJNA562766,excluded,age_adult_only,46,Zeng S,Wang S,4,3,1,University of Queensland,True,True,True
PRJNA573963,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Brown University,True,True,True
PRJNA594393,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Kaleido Biosciences,True,True,True
PRJNA594610,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Kaleido Biosciences,True,True,True
PRJNA594613,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Kaleido Biosciences,True,True,True
PRJNA594620,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Kaleido Biosciences,True,True,True
PRJNA598446,excluded,age_unknown_no_evidence,7,Tarracchini C,Milani C,1,1,0,Mayo Clinic,True,True,True
PRJNA606198,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,NCI,True,True,True
PRJNA615162,excluded,age_adult_only,27,Argentini C,Ventura M,3,3,0,Broad Institute of MIT and Harvard,True,True,True
PRJNA624223,excluded,age_adult_only,18,Tarracchini C,Milani C,3,3,0,Chinese Universtiy of Hong Kong,True,True,True
PRJNA624763,excluded,age_adult_only,18,Tarracchini C,Milani C,3,3,0,Sichuan agricultural university,True,True,True
PRJNA634145,excluded,age_adult_only,24,Argentini C,Ventura M,2,2,0,UCSF,True,True,True
PRJNA650244,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Chinese University of Hong Kong,True,True,True
PRJNA672867,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,National Cancer Institute - NIH,True,True,True
PRJNA687536,excluded,age_adult_only,18,Tarracchini C,Milani C,3,3,0,Weill Cornell Medicine,True,True,True
PRJNA688274,excluded,age_adult_only,29,Mancabelli L,Ventura M,2,1,1,Washington University in St. Louis School of Medicine; COMBAT consortium,True,True,True
PRJNA699281,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Jackson Laboratory for Genomic Medicine,True,True,True
PRJNA714678,excluded,age_adult_only,24,Argentini C,Ventura M,2,2,0,Technion - Israel Institute of Technology,True,True,True
PRJNA752006,excluded,age_child_over_36m,17,Mancabelli L,Ventura M,1,1,0,Children's National Hospital,True,True,True
PRJNA762543,excluded,age_adult_only,17,Argentini C,Ventura M,2,2,0,City University of Hong Kong,True,True,True
PRJNA788972,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Inner Mongolia Agricultural University,True,True,True
PRJDA72415,included,,0,,,0,0,0,National Institute of Infectious Diseases; NIID,False,True,True
PRJDB10635,excluded,site_excluded,0,,,0,0,0,"Infectious Diseases Pediatrics, Nagoya University; NAGOYA",False,True,True
PRJDB10705,excluded,site_excluded,10,Horiba K,Ito Y,1,0,1,"Department of Human Genetics and Molecular Biology, Nagoya University Graduate School of Medicine; NUGSM",True,True,True
PRJDB12113,excluded,site_excluded,0,,,0,0,0,"Department of Human Genetics and Molecular Biology, Nagoya University Graduate School of Medicine; NUGSM",False,True,True
PRJDB14208,excluded,site_excluded,0,,,0,0,0,Nagoya University Graduate School of Medicine; NUGSM,False,True,True
PRJDB15926,excluded,age_unknown_no_evidence,0,,,0,0,0,Collaborative Research Center of Okayama University for Infectious Diseases in India; NAGOYA,False,True,True
PRJDB33192,included,,0,,,0,0,0,Affiliated Hospital of Jiangsu University,False,True,True
PRJDB33475,excluded,age_maternal_only,0,,,0,0,0,Nanjing Medical University; NGDC,False,True,True
PRJDB34268,excluded,site_excluded,0,,,0,0,0,"Institute of Microbiology, Chinese Academy of Sciences",False,True,True
PRJDB39270,excluded,site_excluded,0,,,0,0,0,Jiangsu University,False,True,True
PRJDB39594,excluded,site_excluded,0,,,0,0,0,"Children's Hospital, Zhejiang University School of Medicine",False,True,True
PRJDB41598,excluded,site_excluded,0,,,0,0,0,West China The Second Hospital; NGDC,False,True,True
PRJDB6132,excluded,site_excluded,0,,,0,0,0,"Department of Maxillofacial Orthognathics, Graduate School of Medical and Dental Sciences, Tokyo Medical and Dental University; TOKYO_MEDEN",False,True,True
PRJEB101120,excluded,age_adult_only,0,,,0,0,0,Genevia Technologies Oy,False,True,True
PRJEB101714,included,,0,,,0,0,0,Institut National pour la Recherche Agronomique (FRANCE),False,True,True
PRJEB101960,included,,0,,,0,0,0,Latvian Biomedical Research and Study Centre,False,True,True
PRJEB102170,included,,0,,,0,0,0,Latvian Biomedical Research and Study Centre,False,True,True
